Fri May 19 15:56:37 2017    restats

         402589552 function calls (402579532 primitive calls) in 150.130 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1732    0.001    0.000    0.004    0.000 {method 'any' of 'numpy.ndarray' objects}
     1732    0.000    0.000    0.003    0.000 _methods.py:37(_any)
      520    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
     12/2    0.000    0.000    0.000    0.000 abc.py:194(__subclasscheck__)
        1    0.000    0.000  150.130  150.130 {built-in method builtins.exec}
        5    0.000    0.000    0.000    0.000 getlimits.py:153(<lambda>)
        1    0.000    0.000    0.011    0.011 getlimits.py:129(_init)
       20    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
        1    0.000    0.000    0.011    0.011 machar.py:98(__init__)
       12    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
       10    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        2    0.000    0.000    0.000    0.000 numeric.py:2692(seterr)
       12    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
    21/11    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       12    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
       12    0.000    0.000    0.000    0.000 getlimits.py:13(_frz)
        2    0.000    0.000    0.000    0.000 numeric.py:2792(geterr)
       12    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method math.log10}
       21    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.000    0.000 getlimits.py:151(<lambda>)
        1    0.000    0.000    0.000    0.000 scheduler.py:1152(__init__)
       12    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
       12    0.000    0.000    0.000    0.000 _collections_abc.py:308(__subclasshook__)
       24    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 numerictypes.py:603(obj2sctype)
        1    0.000    0.000    0.000    0.000 numeric.py:3094(__exit__)
        1    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 {built-in method numpy.core.umath.seterrobj}
        1    0.000    0.000    0.000    0.000 numeric.py:3085(__init__)
       11    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
        6    0.000    0.000    0.000    0.000 getlimits.py:152(<lambda>)
        1    0.000    0.000    0.000    0.000 scheduler.py:647(__init__)
        4    0.000    0.000    0.000    0.000 {built-in method numpy.core.umath.geterrobj}
       12    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
        1    0.000    0.000  150.130  150.130 <string>:1(<module>)
        2    0.000    0.000    0.000    0.000 getlimits.py:150(<lambda>)
        9    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.000    0.000 scheduler.py:652(set_affinity_strategy)
        1    0.000    0.000    0.000    0.000 numeric.py:3089(__enter__)
        1    0.000    0.000    0.000    0.000 scheduler.py:335(__init__)
        1    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0xa3ddc0}

